"MES_ANO_ACIDENTE","NATUREZA_DA_LESAO","AGENTE_CAUSADOR_ACIDENTE","INDICA_OBITO_ACIDENTE","POPULACAO","NOME_MUN","NOME_UF"
"01-JUL-18","Corte, Laceracao, Fe","Balcao, Bancada - Mo","Não","32754","Osvaldo Cruz","São Paulo"
"01-JUL-18","Contusao, Esmagament","Escada Permanente Cu","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Embalagem e Recipien","Não","5611","Santa Ernestina","São Paulo"
"01-MAR-18","Fratura","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Politriz, Lixadora,","Não","278571","Sumaré","São Paulo"
"01-JUL-18","Contusao, Esmagament","Barril, Barrica, Bar","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Caixa, Engradado, Ca","Não","237130","Marília","São Paulo"
"01-JUL-18","Fratura","Tubo Sob Pressao (Ma","Não","42903","Itápolis","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Furadeira, Broqueade","Não","8357","Guaraçaí","São Paulo"
"01-JUN-18","Doenca, Nic","Produto Biologico (S","Não","23019","Teodoro Sampaio","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Chao - Superficie Ut","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo, Nic","Não","233744","Araraquara","São Paulo"
"01-JUL-18","Queimadura ou Escald","Agua - Usar Quando O","Não","696850","Osasco","São Paulo"
"01-JUL-18","Contusao, Esmagament","Escada Permanente Cu","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Liquido, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Luxacao","Motocicleta, Motonet","Não","27112","Dois Córregos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Puncao, Ponteiro, Va","Não","249415","São Carlos","São Paulo"
"01-JUL-18","Doenca Contagiosa ou","Agente Infeccioso ou","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Ser Vivo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Distensao, Torcao","Calcada ou Caminho p","Não","716109","Santo André","São Paulo"
"01-JUL-18","Contusao, Esmagament","Piso de Andaime e Pl","Não","82702","Matão","São Paulo"
"01-JUL-18","Contusao, Esmagament","Piso de Edificio - S","Não","195874","Araçatuba","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Motocicleta, Motonet","Não","350400","Franca","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Chave de Parafuso- F","Não","231863","Jacareí","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Maquina Textil","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Equip. Eletrico, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Maquina, Nic","Não","59649","Itupeva","São Paulo"
"01-JUL-18","Contusao, Esmagament","Maquina, Nic","Não","93736","Votuporanga","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Motocicleta, Motonet","Não","121210","Catanduva","São Paulo"
"01-JUL-18","Contusao, Esmagament","Carro de Mao","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Veiculo, Nic","Não","716109","Santo André","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Tanque, Cilindro (Tr","Não","234352","Itapevi","São Paulo"
"01-JUN-18","Concussao Cerebral","Temperatura Ambiente","Não","716109","Santo André","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Politriz, Lixadora,","Não","124453","Sertãozinho","São Paulo"
"01-JUL-18","Lesoes Multiplas","Motocicleta, Motonet","Não","47748","Louveira","São Paulo"
"01-JUL-18","Lesoes Multiplas","Ferramenta, Maquina,","Sim","74299","Itapira","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Agente Infeccioso ou","Não","112711","Ourinhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","27514","Santa Rita do Passa Quatro","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Maquina, Nic","Não","172268","Itu","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Madeira (Toro, Madei","Não","122607","Ribeirão Pires","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","16209","Ipuã","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Chao - Superficie Ut","Não","150713","Mogi Guaçu","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Escoriacao, Abrasao","Alavanca, Pe-De-Cabr","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Calcada ou Caminho p","Não","671186","Sorocaba","São Paulo"
"01-JUL-18","Fratura","Caixa, Engradado, Ca","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Metal - Inclui Liga","Não","54763","São José do Rio Pardo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Esmeril- Ferramenta","Não","233744","Araraquara","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Area ou Ambiente de","Não","67859","Lençóis Paulista","São Paulo"
"01-JUL-18","Luxacao","Metal - Inclui Liga","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Escada Movel ou Fixa","Não","350400","Franca","São Paulo"
"01-JUL-18","Fratura","Ferramenta, Maquina,","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Plastico - Inclui Po","Não","59451","Ibitinga","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Bicicleta","Não","67859","Lençóis Paulista","São Paulo"
"01-JUL-18","Lesoes Multiplas","Motocicleta, Motonet","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Produto Mineral nao","Não","93736","Votuporanga","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Agente Infeccioso ou","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta Manual se","Não","696850","Osasco","São Paulo"
"01-JUN-18","Lesao Imediata, Nic","Cadeira Banco - Mobi","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Vidraria, Fibra de V","Não","12176866","São Paulo","São Paulo"
"01-MAY-18","Contusao, Esmagament","Veiculo, Nic","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Alicate, Torques, Te","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Edificio - Edificio","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","195874","Araçatuba","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Serra - Maquina","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Britador, Moinho - M","Não","414810","Jundiaí","São Paulo"
"01-JUL-18","Queimadura ou Escald","Temperatura Ambiente","Não","160275","São Caetano do Sul","São Paulo"
"01-JUL-18","Fratura","Rua e Estrada - Supe","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata","Veiculo Rodoviario M","Não","195874","Araçatuba","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta Manual se","Não","1194094","Campinas","São Paulo"
"01-JUL-18","Fratura","Andaime, Plataforma","Não","34726","Ibaté","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Cortadeira, Guilhoti","Não","311854","Taubaté","São Paulo"
"01-JUL-18","Luxacao","Escada Permanente Cu","Não","432957","Santos","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Maquina, Nic","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Permanente Cu","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Luxacao","Veiculo Rodoviario M","Não","400949","Piracicaba","São Paulo"
"01-APR-18","Lesao Imediata, Nic","Veiculo, Nic","Não","68788","Mococa","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","70998","Cosmópolis","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo, Nic","Não","93736","Votuporanga","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta Manual se","Não","271306","Barueri","São Paulo"
"01-JUL-18","Fratura","Escada Permanente Cu","Não","36129","Aparecida","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Fratura","Veiculo Rodoviario M","Não","696850","Osasco","São Paulo"
"01-JUL-18","Fratura","Tijolo e Telha - Cer","Não","10003","Rinópolis","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Agente Infeccioso ou","Não","173672","Itapecerica da Serra","São Paulo"
"01-JUL-18","Lesoes Multiplas","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","89747","Ubatuba","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Luxacao","Piso de Edificio - S","Não","1194094","Campinas","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","278571","Sumaré","São Paulo"
"01-JUL-18","Fratura","Transportador com Fo","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Serra - Maquina","Não","59333","Mirassol","São Paulo"
"01-JUL-18","Concussao Cerebral","Chao - Superficie Ut","Não","21307","Nova Granada","São Paulo"
"01-JUL-18","Luxacao","Macaco (Mecanico, Hi","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata","Cadeira Banco - Mobi","Não","414810","Jundiaí","São Paulo"
"01-JUL-18","Contusao, Esmagament","Mobiliario e Acessor","Não","400949","Piracicaba","São Paulo"
"01-JUL-18","Contusao, Esmagament","Andaime, Plataforma","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Permanente Cu","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Serra - Maquina","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","29001","Serra Negra","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Caixa, Engradado, Ca","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Forno, Estufa, Retor","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Maquina Textil","Não","192536","Santa Bárbara d'Oeste","São Paulo"
"01-JUL-18","Contusao, Esmagament","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Martelo, Malho, Marr","Não","166753","Bragança Paulista","São Paulo"
"01-JUL-18","Contusao, Esmagament","Maquina de Terraplen","Não","124453","Sertãozinho","São Paulo"
"01-JUN-18","Contusao, Esmagament","Chao - Superficie Ut","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Britador, Moinho - M","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Distensao, Torcao","Superficie de Susten","Não","432957","Santos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta Manual se","Não","57112","Andradina","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Ferramenta Manual se","Não","398611","Carapicuíba","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Vidraria, Fibra de V","Não","1194094","Campinas","São Paulo"
"01-MAY-18","Lesoes Multiplas","Escada Permanente Cu","Não","1194094","Campinas","São Paulo"
"01-JUN-18","Luxacao","Motocicleta, Motonet","Não","192536","Santa Bárbara d'Oeste","São Paulo"
"01-JUN-18","Lesao Imediata","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Cais, Doca - Edifici","Não","127123","Valinhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Contusao, Esmagament","Alicate, Torques, Te","Não","120533","Tatuí","São Paulo"
"01-JUL-18","Fratura","Corda, Cabo, Corrent","Não","696850","Osasco","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Puncao, Ponteiro, Va","Não","694534","Ribeirão Preto","São Paulo"
"01-JUN-18","Distensao, Torcao","Rua e Estrada - Supe","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Agente Infeccioso ou","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Fratura","Cadeira Banco - Mobi","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Madeira (Toro, Madei","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Fratura","Veiculo, Nic","Não","1365899","Guarulhos","São Paulo"
"01-JUN-18","Fratura","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Masarico - Ferrament","Não","82702","Matão","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta, Maquina,","Não","192536","Santa Bárbara d'Oeste","São Paulo"
"01-JUL-18","Contusao, Esmagament","Escada Permanente Cu","Não","294638","Suzano","São Paulo"
"01-JUL-18","Fratura","Calcada ou Caminho p","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Maquina, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Metal - Inclui Liga","Não","716109","Santo André","São Paulo"
"01-JUN-18","Doenca, Nic","Ataque de Ser Vivo,","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Prensa - Maquina","Não","233744","Araraquara","São Paulo"
"01-JUN-18","Fratura","Motocicleta, Motonet","Não","227353","Hortolândia","São Paulo"
"01-JUN-18","Lesao Imediata, Nic","Escada Movel ou Fixa","Não","77436","Bebedouro","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Composto Metalico (D","Não","59793","Boituva","São Paulo"
"01-JUL-18","Contusao, Esmagament","Ferramenta Manual se","Não","77308","Vinhedo","São Paulo"
"01-JUL-18","Fratura","Metal - Inclui Liga","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","8176","Saltinho","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Prensa - Maquina","Não","440769","Mogi das Cruzes","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Maquina, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","671186","Sorocaba","São Paulo"
"01-JUN-18","Escoriacao, Abrasao","Ferramenta, Maquina,","Não","246908","Indaiatuba","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","366519","Itaquaquecetuba","São Paulo"
"01-JUL-18","Contusao, Esmagament","Mesa, Carteira, Exce","Não","132934","Araras","São Paulo"
"01-JUL-18","Luxacao","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Agente Infeccioso ou","Não","204797","Rio Claro","São Paulo"
"01-JUL-18","Contusao, Esmagament","Ser Vivo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Piso de Edificio - S","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Corda, Cabo, Corrent","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","144820","Botucatu","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Asfalto, Alcatrao, P","Não","65477","Tupã","São Paulo"
"01-JUL-18","Distensao, Torcao","Bicicleta","Não","58765","Monte Mor","São Paulo"
"01-JUL-18","Fratura","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Revestimento Ceramic","Não","204797","Rio Claro","São Paulo"
"01-JUL-18","Distensao, Torcao","Rua e Estrada - Supe","Não","56221","Jaguariúna","São Paulo"
"01-JUL-18","Fratura","Veiculo, Nic","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUN-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesoes Multiplas","Temperatura Ambiente","Não","17328","Severínia","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Agente Infeccioso ou","Não","440769","Mogi das Cruzes","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","270843","Embu das Artes","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Corda, Cabo, Corrent","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","13833","Itapuí","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Maquina, Nic","Não","319146","Praia Grande","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","41622","Tietê","São Paulo"
"01-JUL-18","Luxacao","Veiculo, Nic","Não","278571","Sumaré","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Contusao, Esmagament","Rua e Estrada - Supe","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Esmeril- Ferramenta","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesoes Multiplas","Veiculo Rodoviario M","Não","122359","Birigui","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Puncao, Ponteiro, Va","Não","227072","Presidente Prudente","São Paulo"
"01-JUL-18","Fratura","Andaime, Plataforma","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","432957","Santos","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Luxacao","Piso de Edificio - S","Não","414810","Jundiaí","São Paulo"
"01-JUL-18","Amputacao ou Enuclea","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Veiculo Rodoviario M","Não","1194094","Campinas","São Paulo"
"01-JUL-18","Envenenamento Sistem","Acido","Não","1194094","Campinas","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Ser Vivo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","144820","Botucatu","São Paulo"
"01-JUL-18","Distensao, Torcao","Motocicleta, Motonet","Não","120533","Tatuí","São Paulo"
"01-JUL-18","Fratura","Ser Vivo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","93488","Caçapava","São Paulo"
"01-MAY-18","Contusao, Esmagament","Superficie e Estrutu","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Chao - Superficie Ut","Não","227353","Hortolândia","São Paulo"
"01-JUL-18","Fratura","Asfalto, Alcatrao, P","Não","21604","Lucélia","São Paulo"
"01-JUL-18","Contusao, Esmagament","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Motor, Bomba, Turbin","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Vidraria, Fibra de V","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Contusao, Esmagament","Piso de Veiculo - Su","Não","271306","Barueri","São Paulo"
"01-MAY-18","Doenca, Nic","Ser Vivo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta, Maquina,","Não","127123","Valinhos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Piso de Edificio - S","Não","271306","Barueri","São Paulo"
"01-JUL-18","Contusao, Esmagament","Mesa, Carteira, Exce","Não","271306","Barueri","São Paulo"
"01-JUL-18","Queimadura ou Escald","Gas e Vapor","Não","432957","Santos","São Paulo"
"01-JUL-18","Fratura","Escada Movel ou Fixa","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Prensa - Maquina","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Embalagem e Recipien","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Texteis - Inclui Fib","Não","716109","Santo André","São Paulo"
"01-JUL-18","Lesao Imediata","Passarela ou Platafo","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Caixa, Engradado, Ca","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Aerodispersoides","Não","88276","Lorena","São Paulo"
"01-JUL-18","Contusao, Esmagament","Metal - Inclui Liga","Não","40027","Promissão","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Barril, Barrica, Bar","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Motocicleta, Motonet","Não","53450","Artur Nogueira","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Carvao","Não","14812","Tarumã","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Maquina Textil","Não","89943","São Roque","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta, Maquina,","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","144820","Botucatu","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Inflamacao de Articu","Esforco Excessivo ao","Não","12176866","São Paulo","São Paulo"
